gender,age,birth.month,day.you,day.bro,day.mum,day.dad,hemisphere,is.foreign,study.area,outside.work,loan,stress,hours.sleep,coffee,travel.time,transport,transport.other,unsw.satisfaction,phone.wifi,flu,facebook.friends,facebook.time,gym,fruits.vegetables,hair.cost,labour.cost,tennis.tv,survey.finished
Male,24,March,16,3,3,18,Southern,0,Science,1,0,Moderately,8,1,10,Motorbike,,9,1,10,219,2,4,1,20,20,0,1
Male,20,February,10,23,1,22,Southern,0,Science,1,,Moderately,8,0,80,Car/Train/Bus,,6,1,2,154,1,0,5,10,10,0,1
Male,20,February,11,21,28,15,Southern,0,Commerce,0,8000,Moderately,8,1,2,Train/Bus,,7.5,1,0,456,20,6,4,15,15,1,1
Male,20,June,27,9,13,2,Southern,0,Commerce,1,20000,Not at all,8,0,65,Train/Bus,,4,1,4,600,7,5,5,7,10,1,1
Male,20,May,25,1,15,25,Southern,0,Other,0,20000,Not at all,7,1,20,Car,,5,1,50,300,2,60,4,0,0,0,1
Female,20,October,3,5,14,13,Southern,0,Other,1,,Moderately,5,0,60,Car,,8,1,10,762,10,300,2,285,285,0,1
Female,21,July,6,4,25,13,Southern,0,Commerce,1,30000,Moderately,6,1,60,Train/Bus,,7,1,20,900,15,120,3,15,20,0,1
Female,20,February,23,10,21,25,Southern,0,Aviation,0,,Moderately,6,0,90,Other,walk/train/bus,0,1,20,41,6,10,4,30,2,0,1
Male,21,October,10,17,19,6,Southern,0,Commerce,0,10000,Moderately,5,1,60,Train/Bus,,7.5,1,30,780,3,0,3,25,10,0,1
Male,20,July,30,20,5,12,Southern,0,Science,0,12000,Moderately,6,0,75,Train/Bus,,2,1,20,400,30,480,3,93,93,0,1
Male,20,February,28,18,26,19,Southern,0,Commerce,1,,Extremely,18,34,60,Train/Bus,,7.2,1,88,0,92,0,89,8,9,1,1
Male,20,February,27,26,27,29,Northern,1,Commerce,0,3,Very,7,1,8,Train/Bus,,5,1,3,2,1,2,3,3,5,0,1
Male,20,April,7,29,7,5,Northern,0,SocialSciences,0,4000,Moderately,5,0,40,Train/Bus,,8,1,0,370,10,700,5,27,25,0,1
Male,20,December,27,8,6,7,Southern,0,Science,0,0,Moderately,7,1,55,Train/Bus,,6,1,15,235,4,30,5,20,16,1,1
Female,20,October,18,11,29,21,Southern,,SocialSciences,1,,Moderately,6,0,120,Car/Train/Bus,,9,1,2,461,60,180,5,15,10,0,1
Female,21,July,22,15,6,25,Northern,1,Science,0,0,Slightly,7,0,15,Train/Bus,,8,1,2,50,2,30,1,100,80,0,1
Female,23,October,14,28,16,2,Northern,1,Science,1,17381,Very,6,1,15,Train/Bus,,2,1,0,2,0,0,1,0,0,0,1
Female,20,January,4,3,20,21,Northern,1,Commerce,1,,Moderately,6,0,15,Walking,,6,1,4,40,1,300,2,50,50,0,1
Male,20,November,6,7,23,8,Northern,1,Aviation,0,,Extremely,8,0,90,Train/Bus,,10,1,20,100,1,0,1,60,10,0,1
Female,21,January,10,1,5,22,Northern,1,Commerce,0,0,Moderately,6,1,10,Bus,,8.5,1,9,66,0.5,30,2,200,100,1,1
Male,21,April,29,28,9,28,Southern,1,Aviation,0,1,Not at all,9,0,10,Bus,,9,1,1,29,0.1,0,0,12,6,0,0
Male,21,April,7,11,22,7,Northern,1,Aviation,0,0,Moderately,6,0,15,Train/Bus,,5,1,20,225,1,240,10,20,15,0,0
Male,18,July,9,8,12,5,Northern,1,Science,0,0,Very,7,0,20,Walking,,6,1,20,40,1,0,1,10,15,0,1
Female,20,June,10,4,9,15,Southern,1,Science,0,,Slightly,5,1,20,Walking,,8,1,5,600,5,630,3,15,15,0,1
Female,20,November,6,6,22,8,Southern,0,Science,1,0,Moderately,9,1,2,Walking,,4,1,2,994,10,100,6,35,35,0,1
Male,23,February,5,4,11,8,Southern,1,Aviation,0,0,Extremely,1,5,60,Car,,3,1,99,0,0,0,5,20,40,0,1
Male,23,October,11,26,20,25,Northern,1,Aviation,0,0,Very,7,0,15,Car,,8.52,1,0,1038,9,40,1,25,18,0,1
Female,19,March,13,8,31,29,Southern,0,LifeSciences,1,0,Moderately,6,0,0,Other,Live in a College,6.85,1,2,289,5,60,2,35,30,0,1
Female,19,August,30,12,2,28,Southern,0,Science,1,,Moderately,6,2,90,Train/Bus,,3,1,5,1300,6,240,1,180,180,0,1
Female,18,August,17,4,2,26,Northern,0,Commerce,0,,Moderately,8,1,80,Bus,,9,1,3,800,20,7,3,45,45,0,1
Male,19,April,8,24,1,16,Northern,1,Other,0,18000,Very,7,0,90,Train/Bus,,7.5,1,25,490,20,30,6,6,10,1,1
Male,19,August,30,23,27,12,Southern,0,Commerce,1,6000,Extremely,6,0,75,Train/Bus,,1,1,11,1035,7,7,2,0,0,1,0
Female,20,May,14,28,14,1,Southern,,Medicine,1,7200,Very,8,1,10,Walking,,7,1,1,568,1,4.5,5,40,30,0,1
Male,21,June,20,19,1,15,Southern,0,Other,0,,Slightly,9,1,20,Car/Train/Bus,,7,1,3,392,2,180,5,0,0,0,1
Male,19,June,28,31,29,17,Southern,0,Science,1,0,Slightly,7,0,10,Bus,,6,1,10,798,50,120,4,18,2,0,0
Male,22,April,30,2,24,18,Southern,0,Medicine,0,,Slightly,8,1,100,Train/Bus,,7.5,1,3,386,6,300,5,32,35,0,1
Female,18,June,30,9,1,30,Northern,1,Science,0,0,Moderately,7,1,15,Walking,,8.5,1,5,45,15,200,4,200,60,0,1
Male,21,November,7,1,2,17,Southern,1,Science,1,17000,Very,7,0,10,Walking,,9.55,1,0,5,1,0,1,15,10,0,1
Female,18,June,6,8,8,11,Northern,1,Commerce,0,0,Moderately,8,0,15,Walking,,8.6,1,2,20,1,0,1,20,5,0,1
Male,20,May,21,17,4,14,Southern,0,Science,0,3000,Slightly,7,3,35,Bus,,8.5,1,2,400,1,100,4,30,25,0,1
Female,19,October,20,25,14,18,Northern,1,Aviation,0,,Moderately,8,2,60,Train/Bus,,7,1,10,300,10,150,1,150,100,0,1
Female,20,January,29,29,4,19,Southern,0,Science,1,8000,Very,6,0,90,Train/Bus,,6,1,2,2000,14,7,6,90,40,0,1
Male,19,October,23,10,16,25,Northern,1,Science,0,15000,Extremely,5,2,100,Motorbike,,0.16,1,1,449,5,12,1,20,25,0,1
Male,20,June,1,1,1,1,Southern,1,Commerce,0,0,Not at all,8,0,60,Train/Bus,,8,1,10,50,0,3,3,15,14,0,1
Male,20,April,15,21,15,7,Northern,1,Science,0,0,Slightly,7,0,10,Walking,,5,1,15,697,9,0,3,10,12,0,1
Female,19,May,10,26,10,10,Southern,,Commerce,0,0,Moderately,6,1,3,Walking,,8,1,6,277,1,135,2,10,10,0,1
Female,20,June,4,11,15,12,Northern,,Other,0,0,Very,6,2,30,Bus,,6.5,1,0,40,2,1,3,100,3,0,1
Female,19,April,1,15,19,1,Southern,0,Aviation,1,,Moderately,6,0,90,Train/Bus,,6,1,10,450,3,0,2,150,70,0,1
Male,20,July,3,17,30,11,Northern,0,Commerce,1,18000,Slightly,7,1,30,Car,,8,1,15,335,4,120,2,24,19,0,1
Female,20,April,24,22,14,3,Northern,0,Medicine,1,0,Very,6,0,90,Train/Bus,,7.9,1,10,650,21,120,5,0,50,1,1
Male,32,October,26,16,4,7,Northern,,Medicine,1,0,Slightly,6,2,40,Car,,7,1,5,146,1,90,2,20,16,0,1
Male,19,March,1,25,18,11,Southern,0,Engineer,0,,Moderately,5,0,90,Train/Bus,,7,1,10,0,0,0,2,9,7,0,1
Female,19,November,18,19,3,5,Southern,,Commerce,0,0,Slightly,7,1,10,Walking,,6,1,0,0,0,0,1,100,1000,0,1
Female,20,October,31,7,5,22,Northern,1,Other,0,0,Moderately,8,1,20,Car/Train/Bus,,6,1,20,30,1,0,3,20,20,0,1
Male,20,December,7,31,3,4,Southern,1,Science,1,0,Slightly,8,2,10,Motorbike,,8,1,2,377,2,720,4,35,30,1,1
Female,19,July,21,14,28,11,Northern,1,Other,0,,Moderately,8,0,20,Walking,,7,1,20,0,0,120,1,150,50,0,1
Male,20,October,28,27,31,31,Northern,1,Medicine,0,0,Slightly,8,1,20,Train/Bus,,8.88,1,0,50,5,180,3,10,10,0,1
Male,19,January,23,4,1,23,Northern,1,Medicine,0,0,Slightly,7,1,5,Walking,,8,1,30,140,2,7,0,15,5,0,1
Male,18,October,31,11,10,15,Northern,1,Aviation,0,0,Moderately,6,0,10,Walking,no,6,1,30,400,1,300,1,25,18,0,1
Male,24,February,9,27,6,26,Southern,0,Commerce,0,40000,Slightly,6,0,60,Car,,3.33,1,20,200,10,180,5,20,20,0,1
Male,18,July,8,5,1,9,Northern,1,Other,1,50000,Moderately,8,0,15,Walking,,8,1,0,600,3.5,10,5,28,15,0,1
Female,23,May,5,11,4,9,Southern,0,Science,0,50000,Moderately,7,1,100,Car/Train/Bus,,7.75,1,6,85,1,90,10,40,30,0,1
Female,25,December,28,22,25,14,Northern,0,Aviation,1,30000,Moderately,7,0,90,Train/Bus,,7.5,1,75,254,10,120,1,40,20,0,1
Male,21,May,11,9,16,6,Northern,1,Aviation,0,0,Moderately,8,0,20,Train/Bus,,8.5,1,0,8,3,60,5,35,35,0,1
Male,19,April,6,9,7,10,Northern,1,Science,0,3,Very,8,0,30,Train/Bus,,9,1,2,3,2,2,3,30,10,0,1
Male,19,January,4,11,11,20,Southern,1,Science,0,0,Moderately,7,0,0,Walking,,8.5,1,35,694,2,240,1,25,5,0,1
Female,19,October,20,17,2,31,Northern,1,Science,0,0,Moderately,7,0,20,Train/Bus,,8.7,1,10,637,1,240,3,30,20,0,1
Male,19,August,30,30,10,28,Southern,1,Science,0,3,Moderately,7,1,10,Walking,,8,1,1,30,1,1.5,2,30,30,0,0
Female,20,May,16,11,31,10,Southern,0,Medicine,1,30000,Slightly,8,0,60,Train/Bus,,7.8,1,4,923,7,350,5,20,30,0,1
Female,19,August,13,7,30,25,Southern,0,SocialSciences,0,,Extremely,8,0,150,Train/Bus,,10,1,0,533,5,420,7,150,60,0,1
Male,19,March,9,13,2,8,Northern,1,Aviation,0,0,Moderately,7,1,5,Walking,,7.5,1,50,1037,4,30,10,40,30,0,1
Female,18,August,15,7,28,25,Northern,1,Aviation,0,0,Moderately,7,0,25,Walking,,8,1,0,500,4,0,3,15,10,0,1
Female,19,March,18,25,29,24,Northern,1,Science,0,,Very,7,0,0,Walking,,8,1,15,25,0,0,2,10,2,0,1
Male,19,July,7,6,6,6,Northern,1,Science,0,0,Not at all,6,0,0,Other,living on campus,7,1,3,1400,25,240,2,25,10,0,1
Female,20,December,2,3,26,20,Southern,0,LifeSciences,1,,Very,6,0,50,Train/Bus,,7.25,1,27,1134,5,120,8,220,160,0,1
Female,19,January,10,20,18,19,Southern,0,Science,0,0,Slightly,8,2,15,Car,,10,1,2,800,8,420,3,160,100,0,1
Female,19,September,26,30,9,29,Southern,0,Science,1,0,Moderately,8,0,30,Train/Bus,No,6,1,5,1443,10,15,3,60,60,0,1
Female,19,August,29,31,26,17,Southern,0,Science,1,40000,Extremely,8,0,90,Other,Ferry + Bus,9,1,1,661,5,180,5,160,100,0,1
Female,18,October,5,24,13,27,Southern,1,Aviation,0,0,Slightly,9,0,10,Walking,,8,1,18,100,20,7,3,50,30,0,1
Male,18,July,28,27,26,4,Northern,,Science,0,,Very,7,1,75,Train/Bus,,8,1,3,191,0,120,1,30,30,0,1
Female,18,January,9,9,28,5,Northern,,Science,0,,Extremely,7,1,10,Walking,,8.5,1,30,38,3,140,4,60,20,0,1
Female,19,January,9,9,28,5,Northern,1,Science,0,0,Moderately,7,0,15,Walking,,8,1,5,68,5,0,3,40,30,0,1
Male,18,July,15,14,14,23,Northern,1,Aviation,0,0,Slightly,6,2,5,Walking,,7.86,1,6,411,3,0,1,24,20,0,1
Male,20,October,19,11,17,6,Southern,0,Science,1,0,Not at all,9,2,120,Train/Bus,,6.98,1,13,416,8,540,6,18,35,0,1
Male,18,June,19,1,1,1,Northern,1,Science,0,0,Moderately,7,0,30,Walking,,10,1,5,400,14,500,1,25,20,0,0
Male,20,January,25,23,17,14,Southern,0,Aviation,1,3000,Slightly,7,2,1,Walking,,8,1,0,1200,7,0,3,30,25,0,1
Male,19,October,19,19,15,7,Southern,0,Aviation,0,0,Slightly,7,0,20,Car,,8,1,3,500,8,5,3,30,18,0,0
Male,21,June,22,30,6,16,Southern,0,Aviation,0,,Slightly,8,2,45,Car,No,7,1,3,20000,7,0,1,25,20,0,1
Male,19,November,3,23,1,4,Northern,0,Medicine,0,,Extremely,7,2,25,Bus,,8.5,1,2,2732,20,9,5,30,40,0,1
Male,22,May,11,13,16,26,Northern,1,Aviation,0,0,Moderately,9,0,10,Walking,,8,1,3,200,5,90,2,10,10000,0,1
Female,20,March,20,6,12,7,Northern,1,Science,0,0,Slightly,7,0,0,Walking,,9,1,5,200,0.5,0,5,30,20,0,1
Male,19,May,5,3,8,4,Northern,1,Aviation,0,0,Moderately,7,0,0,Other,Live on campus,7.5,1,20,513,10,0,1,3,6,0,1
Female,28,February,7,12,29,28,Southern,0,Science,1,,Moderately,9,4,32,Train/Bus,,7,1,1,667,7,7,5,70,70,0,1
Female,19,September,27,27,2,7,Southern,0,Science,0,0,Slightly,8,1,5,Walking,,8,1,0,511,1,90,1,40,40,0,1
Male,19,May,30,3,17,14,Southern,0,Medicine,1,6000,Very,10,1,10,Bicycle,,6,1,1,150,5,300,8,25,10,0,1
Male,20,June,1,30,14,9,Southern,0,Aviation,1,0,Slightly,7,0,25,Train/Bus,,8,1,0,1100,10,10,5,35,15,0,1
Female,19,April,16,4,1,14,Southern,0,Science,1,0,Moderately,7,0,10,Bus,,5.97,1,70,367,7,7,4,15,10,0,1
Female,21,May,1,10,9,20,Southern,0,Science,0,7000,Slightly,8,0,105,Train/Bus,-,7.5,1,5,866,3,8,7,25,25,0,1
Male,18,September,15,20,26,28,Northern,1,Science,0,0,Not at all,6,0,0,Other,I live on campus,8,1,4,32,0.5,60,5,14,10,0,0
Male,18,November,25,3,8,18,Southern,0,SocialSciences,0,3000,Not at all,6,1,0,Other,college,4,1,1,517,2,320,3,20,30,0,1
Male,18,January,3,13,13,14,Southern,0,Other,0,0,Slightly,8,0,90,Train/Bus,,6,1,0,160,10,240,3,20,10,0,1
Female,18,March,13,14,5,7,Southern,,Science,1,2,Slightly,7,0,60,Train/Bus,,8.5,1,0,230,3,300,5,50,20,1,1
Male,18,December,17,2,29,20,Southern,0,Other,0,,Slightly,7,0,75,Car/Train/Bus,,7,1,3,424,3,4,5,0,7,1,1
Female,18,June,14,26,13,6,Southern,0,Science,1,0,Slightly,7,0,70,Train/Bus,,8,1,15,600,3,20,3,60,40,0,1
Female,18,March,31,10,20,3,Southern,0,Medicine,1,0,Moderately,5,0,120,Train/Bus,,8,1,20,1003,10,7,10,15,15,0,1
Male,18,September,9,23,28,30,Southern,0,Aviation,0,0,Slightly,7,1,90,Car/Train/Bus,,6,1,5,200,5,0,1,25,20,0,1
Male,18,August,22,21,12,25,Southern,0,Commerce,1,4008,Slightly,7,0,75,Other,Ferry,5.5,1,5,450,10,0,7,22,20,1,1
Male,18,November,15,29,29,22,Southern,0,Aviation,0,6000,Very,7,0,110,Train/Bus,,9,1,30,393,24,120,3,14,10,1,1
Male,18,June,26,28,17,2,Southern,0,Medicine,1,4000,Moderately,7,1,90,Train/Bus,,7,1,2,541,5,10,1,15,10,0,1
Female,18,June,9,27,27,14,Southern,0,Science,0,,Slightly,7,0,90,Train/Bus,,8,1,0,92,5,90,2,25,25,0,1
Female,18,August,26,23,24,19,Northern,1,Science,0,,Moderately,7,0,90,Train/Bus,,8.3,1,15,6,2,0,2,12,12,0,1
Female,18,December,11,7,23,23,Southern,0,Medicine,1,4000,Moderately,7,1,70,Car/Train/Bus,,7,1,9,700,5,240,5,100,80,1,1
Male,18,August,23,12,22,29,Southern,0,Science,0,0,Slightly,8,0,180,Train/Bus,,8,1,8,200,4,0,4,130,150,1,1
Female,18,September,12,22,19,10,Southern,0,Science,0,0,Moderately,6,0,90,Train/Bus,,7.69,1,3,430,10,105,4,30,25,0,1
Male,18,December,1,21,15,27,Southern,0,Aviation,0,3907,Not at all,8,0,60,Car/Train/Bus,,9.52,1,7,511,13,450,1,30,25,0,1
Female,18,April,27,11,15,24,Southern,0,Aviation,0,4000,Slightly,8,1,60,Train/Bus,,8,1,20,600,7,180,5,100,70,0,1
Female,18,August,30,23,14,22,Southern,0,Science,0,,Extremely,9,0,120,Car/Train/Bus,,9,1,5,164,1,0,5,15,10,0,0
Female,18,February,21,31,20,31,Southern,0,Science,0,0,Slightly,8,1,100,Car/Train/Bus,,7.5,1,0,514,7,180,8,70,50,1,1
Male,18,June,11,21,15,1,Southern,0,Medicine,1,0,Extremely,4,1,80,Train/Bus,,3,1,3,655,6,7,3,10,20,0,1
Female,19,March,10,10,9,26,Northern,,Medicine,1,,Moderately,7,1,90,Train/Bus,,8,1,10,352,4,120,3,60,60,1,1
Male,18,September,25,22,23,12,Northern,0,Aviation,0,4000,Moderately,10,0,110,Train/Bus,,5,1,17,2,19,0,1,25,18,1,0
Female,18,February,9,8,5,14,Southern,0,Science,1,,Extremely,7,0,60,Train/Bus,,8.01,1,2,400,1,10,7,30,20,0,1
Male,19,January,2,29,23,1,Southern,0,Medicine,0,0,Slightly,7,1,90,Car/Train/Bus,,8,1,1,720,1.5,60,4,30,30,0,1
Male,18,November,7,1,21,27,Southern,0,Commerce,0,0,Moderately,7,0,90,Train/Bus,,8.9,1,8,1072,15,500,5,35,20,0,0
Male,18,August,7,1,10,24,Southern,0,Science,0,0,Moderately,6,0,15,Car,,7,1,2,751,7,400,10,30,15,0,1
Male,18,May,7,7,22,2,Southern,0,Aviation,0,40000,Slightly,8,2,120,Train/Bus,,7,1,17,200,12,60,4,15,20,0,1
Male,18,August,5,2,3,27,Southern,0,Science,1,0,Moderately,8,2,0,Other,I live on campus,5,1,0,500,4,0,3,0,40,1,1
Female,18,May,12,20,17,7,Southern,0,Science,0,0,Moderately,6,0,70,Train/Bus,,8.35,1,2,126,1.5,210,5,55,50,0,1
Female,18,November,4,3,9,15,Southern,0,Commerce,0,8000,Slightly,6,0,60,Train/Bus,,9.5,1,10,250,5,420,5,178,120,0,1
Female,18,June,3,5,15,18,Southern,0,Medicine,1,4000,Slightly,5,2,55,Train/Bus,,8,1,1,415,15,5,4,25,15,0,1
Male,18,July,25,13,10,20,Northern,,Aviation,0,,Not at all,10,0,50,Train/Bus,,5,1,5,300,20,0,2,40,30,0,1
Female,18,November,10,24,22,17,Southern,0,Medicine,0,2600,Slightly,5,0,0,Train/Bus,,5,1,0,416,8,300,2,80,80,0,1
Female,18,April,2,25,14,14,Southern,0,Science,1,,Not at all,8,0,90,Car/Train/Bus,,3,1,2,388,10,0,3,15,15,0,1
Female,18,December,28,12,15,12,Southern,0,Science,1,200,Slightly,6,0,60,Train/Bus,,6,1,5,205,3,20,4,15,15,0,1
Female,18,August,11,16,7,25,Southern,0,Commerce,0,,Slightly,9,0,60,Car/Train/Bus,,7.5,1,3,418,7,0,5,30,30,0,1
Female,18,March,13,21,27,25,Northern,1,Science,1,,Slightly,7,0,60,Train/Bus,,6.66,1,16,250,4,20,1,10,10,0,1
Female,18,December,28,26,28,3,Southern,0,Medicine,1,,Extremely,6,0,60,Train/Bus,,7,1,18,252,8,240,5,20,20,1,1
Female,18,December,29,28,12,6,Southern,0,Science,0,,Extremely,6,0,100,Train/Bus,,8.89,1,1,200,8,12,4,280,100,1,1
Female,18,August,30,19,3,1,Northern,1,LifeSciences,0,0,Slightly,5,2,80,Train/Bus,,8,1,20,800,20,0,5,35,20,0,1
Male,18,December,2,5,15,15,Southern,0,Commerce,1,,Moderately,6,0,50,Car/Train/Bus,,7,1,10,500,5,2,6,0,20,0,1
Male,18,December,19,28,6,11,Southern,1,Aviation,0,0,Moderately,7,0,2,Walking,,7,1,2,1241,5,4,1,20,20,0,1
Male,18,January,17,30,6,15,Southern,0,Aviation,1,3500,Very,8,0,61,Train/Bus,,8,1,6,700,5,5,5,20,15,0,1
Male,19,May,8,31,19,8,Southern,1,Aviation,0,0,Moderately,7,0,5,Walking,,7,1,3,630,8,60,3,30,10,0,1
Female,18,July,17,14,23,3,Southern,0,Science,1,0,Very,6,0,80,Train/Bus,,6.8,1,3,320,7,0,2,20,20,0,1
Male,18,November,10,14,31,21,Southern,0,Science,1,,Very,7,0,110,Train/Bus,,7,1,4,505,20,270,3,13,13,0,1
Male,19,February,22,5,25,31,Southern,0,Aviation,1,,Moderately,7,0,86,Train/Bus,,8,1,15,716,15,180,3,22,25,1,1
Female,18,January,24,12,14,22,Southern,0,Science,1,6000,Moderately,6,0,120,Other,Walking/Train/Bus,6,1,18,468,7,2,3,28,10,0,1
Female,18,July,22,5,7,4,Southern,0,Medicine,0,0,Moderately,7,2,60,Car/Train/Bus,,8.53,1,4,771,4,120,4,55,50,0,1
Male,18,September,16,24,9,2,Southern,0,Science,0,0,Slightly,7,0,90,Train/Bus,,6.25,1,0,390,3,60,2,20,15,0,1
Female,18,June,25,18,25,25,Southern,0,Science,1,,Extremely,7,0,100,Train/Bus,,6,1,2,158,10,0,3,30,20,0,0
Female,18,August,23,2,31,20,Southern,0,Science,0,40000,Slightly,8,1,80,Train/Bus,,7,1,20,220,1,120,2,46,40,1,1
Male,18,June,3,17,19,26,Southern,0,Commerce,1,25000,Not at all,5,1,120,Train/Bus,,1,1,1,1000,7,0,10,15,15,0,1
Female,18,December,19,28,15,8,Northern,1,Science,0,,Very,7,0,70,Train/Bus,,8,1,48,112,2,180,2,25,10,0,1
Male,18,April,21,21,18,3,Southern,,Science,0,,Moderately,10,0,50,Train/Bus,,8,1,1,280,5,140,2,33,25,0,1
Female,18,June,25,16,30,14,Southern,0,Other,0,3808,Moderately,9,0,60,Train/Bus,,9,1,4,246,2,360,6,30,30,0,1
Male,18,September,29,28,10,14,Southern,0,Science,0,,Moderately,6,0,90,Train/Bus,,7.5,1,72,400,7,500,4,20,20,0,1
Male,18,December,4,6,6,7,Northern,1,Science,1,0,Slightly,9,1,65,Train/Bus,,8,1,0,318,7,0,5,2,2,1,0
Male,19,February,24,14,4,15,Southern,1,Science,0,,Very,7,0,10,Walking,,8,1,19,195,1,70,5,25,2000,0,1
Male,18,September,27,7,8,13,Southern,0,Aviation,0,0,Slightly,7,1,90,Train/Bus,,8.5,1,2,505,10,8,1,18,19,0,0
Male,19,July,25,14,17,24,Southern,0,Medicine,0,,Slightly,7,0,100,Train/Bus,,8,1,2,300,2,0,2,14,14,1,1
Male,18,January,24,18,6,16,Southern,0,Science,1,,Very,8,0,90,Train/Bus,,8.4,1,18,576,1,60,8,20,20,0,1
Female,18,March,1,20,29,4,Northern,0,Science,0,7000,Moderately,8,2,90,Car/Train/Bus,,6,1,20,328,5,5,6,50,50,0,1
Male,18,August,24,29,30,24,Southern,0,Other,0,7000,Moderately,7,0,20,Train/Bus,,8,1,1,192,2,120,7,30,20,1,1
Female,18,June,24,26,1,6,Northern,0,Science,0,,Moderately,7,0,30,Train/Bus,,7.01,1,37,233,10,360,5,30,25,0,1
Male,18,November,10,2,23,6,Southern,0,Science,1,3608,Moderately,8,0,75,Train/Bus,,7.5,1,5,255,1,90,2,20,10,0,1
Male,19,September,21,17,19,24,Southern,0,Science,1,40000,Very,7,0,75,Train/Bus,,8,1,4,320,2,1,1,27,15,0,1
Male,18,July,25,15,24,3,Southern,0,Aviation,1,,Very,7,0,30,Car,,6,1,5,1057,10,10,4,35,35,0,1
Female,18,July,10,8,26,10,Southern,0,Science,0,,Moderately,6,0,75,Train/Bus,,7.85,1,4,174,1,70,2,20,20,0,1
Male,18,August,18,8,22,23,Southern,0,Medicine,0,0,Slightly,6,0,75,Car/Train/Bus,,6,1,0,800,90,600,44,25,25,0,1
Female,18,November,14,19,20,19,Southern,0,Science,0,6000,Very,6,0,150,Other,Walking/Bus/Train,7.99,1,25,97,3,0,3,110,50,0,1
Female,18,March,4,16,26,25,Southern,0,Science,1,,Moderately,7,0,20,Walking,,6,1,10,449,1,180,7,20,35,1,1
Female,18,October,29,12,8,31,Southern,0,Aviation,0,0,Not at all,9,0,120,Car/Train/Bus,,8,1,3,1241,35,10,5,120,120,0,1
Female,18,January,2,1,22,26,Northern,0,Science,0,3600,Moderately,6,2,70,Train/Bus,,8,1,3,720,10,4,5,30,25,1,1
Female,18,October,16,24,10,9,Southern,0,Medicine,0,,Moderately,5,0,120,Train/Bus,,7.5,1,3,408,2,0,3,30,30,0,1
Female,18,November,2,22,21,14,Southern,0,Commerce,0,10000,Not at all,7,1,10,Car,,8.88,1,50,980,10,20,2,300,120,0,1
Female,18,April,22,6,24,31,Southern,0,Commerce,1,0,Extremely,8,0,90,Train/Bus,,0,1,15,300,7,0,4,30,15,0,1
Female,18,December,21,15,2,9,Southern,0,Science,1,,Moderately,7,0,60,Train/Bus,,8,1,10,418,1,90,5,100,80,1,1
Female,18,February,27,24,3,25,Southern,0,Commerce,1,0,Moderately,8,0,90,Train/Bus,,7.5,1,8,868,3,60,10,25,25,0,1
Male,18,September,15,29,25,17,Northern,,Other,0,4000,Moderately,7,0,54,Train/Bus,,9,1,30,340,15,120,4,40,20,0,1
Male,18,October,30,23,9,19,Northern,0,Science,0,0,Slightly,8,1,45,Walking,,8,1,0,230,2,10,5,16,13,0,1
Female,18,September,5,2,20,6,Southern,0,Science,0,3000,Extremely,8,0,100,Car,,8,1,2,0,0,6,3,30,30,0,0
